human,homo
mouse,mus
murine,mus
bat,chiroptera
dog,canis
canine,canis
marmot,marmota
rat,rattus
piscine,craniata
fish,craniata
carp,cyprinidae
shark,selachii
toad,bufonidae
frog,anura
tick,acari
snake,serpentes
newt,pleurodelinae
eel,anguilliformes
turtle,testudines
lizard,squamata
ant,formicidae
wasp,apocrita
hu,homo
bo,Bovinae
swine,sus
seal,Otariidae
apricot,prunus
asanine,equus
cod,gadus
baboon,papio
banana,musa
barley,hordeum
bean,fabaceae
beet,beta
bird,aves
blackbird,aves
blackberry,rubus
chicken,gallus
camel,camelus
goat,caprinae
cauliflower,brassica
pork,sus
cotton,Gossypium
cucumber,cucumis
cowpea,vigna
duck,Anatidae
elephant,elephantidae
enterobacteria,Enterobacteriaceae
deer,cervidae
feline,felidae
ferret,mustela
fowl,aves
fox,canidae
vulture,aves
hamster,cricetidae
halibut,hippoglossus
hog,sus
infectious,Homo
cattle,Bovinae
bovine,Bovinae
rhesus,macaca
cacao,theobroma
eggplant,solanum
rodent,rodentia
opossum,didelphidae
apple,malus
hibiscus,hibiscus
vole,cricetidae
grapevine,vitis
pepper,piper
chimpanzee,pan
monkey,primates
cabbage,brassica
chilli,capsicum
tomato,solanum
shrew,soricidae
jerboa,dipodidae
switchgrass,panicum
simian,Primates
hedgehog,Erinaceidae
peach,Prunus
lettuce,Lactuca
potato,solanum
pineapple,ananas
watermelon,citrullus
porcine,sus
mule,equus
equine,equus
maize,zea
gourd,cucrbita
earthworm,Megadrilacea
sponge,Porifera
wrack,Fucaceae
lupine,Canis
panda,Ailuropoda
bass,Perciformes
lentil,lens
lepidopteran,Lepidoptera
lily,lilium
lion,Panthera
macaque,Macaca
mammalian,Mammalia
megabat,Pteropodidae
mosquito,Culicidae
mungbean,vigna
oyster,Bivalvia
snail,Gastropoda
okra,Abelmoschus
grouper,Serranidae
falcon,Falco
ostrich,Struthio
otter,Lutrinae
ovine,Ovis
salmon,Salmonidae
passion fruit,Passiflora
peanut,Arachis
pea,Pisum
penguin,Spheniscidae
turkey,Meleagris
pigeon,Columbidae
pike,Esox
porcine,sus
porcupine,Hystricognathi
pumpkin,Cucurbita
quail,Galliformes
rabbit,Leporidae
raspberry,rubus
clover,Trifolium
tortoise,Testudinidae
reindeer,Rangifer
rice,oryza
dolphin,Cetacea
giraffe,Giraffa
rous,gallus
sea lion,Otariidae
tobacco,Nicotiana
soybean,Glycine
whale,Cetacea
squirrel,Sciuridae
sugarcane,Saccharum
torque,homo
turbot,Scophthalmus
turnip,Brassica
cassava,Manihot
zucchini,Cucurbita
cyano,Cyanobacteria
dengue,Primates
entero,Mammalia
foot-and-mouth,Laurasiatheria
hantaan,Mammalia
hepatitis,Homo
herpes,Homo
zika,primates
sars,homo
measles,homo
mumps,homo
norwalk,Homo
noro,Homo
pesti,Mammalia
rubella,homo
influenza,Mammalia
sapo,homo
common,na
hiv-1,homo
hiv-2,homo
viro,viridae
coconut,Cocos
passionfruit,Passiflora
cichlid,Cichlidae
cherry,prunus
hagfish,Myxinidae
frogfish,Antennariidae
spikefish,Triacanthodidae
scaldfish,Arnoglossus
rattails,Macrouridae
batfish,Platax
lizardfish,Synodontidae
lungfish,Dipnoi
anchovy,Engraulidae
bullfrog,Anura
puffer,Tetraodontidae
lamprey,Petromyzontiformes
cat,felidae
cormorant,Phalacrocoracidae
sunfish,Molidae
shrimp,Decapoda
rota,Mammalia
spinach,Spinacia
spider,Araneae
centipede ,Chilopoda
insect,Insecta
fly,Diptera
coneheads,Polyneoptera
arthropod,Arthropoda
crab,Decapoda
crustacean,Crustacea
crimean-congo,Mammalia
norwalk-like,homo
bluetongue,mammalia
newcastle disease virus,Aves
oat,Avena
garlic,Allium
shallot,Allium
tick-bourne,acari
tick-borne,acari
avipox,aves
blueberry,vaccinium
enterobacterial,Enterobacteriaceae
marten,Martes
radish,raphanus
sheep,ovis
ungulate,Laurasiatheria
wheat,Triticum
yam,dioscorea
carrot,Daucus
camelpox,camelus
carnation,Dianthus
mimivirus-dependent,mimiviridae
goatpox,capra
california,na
nevada,na
setaria,Poaceae
nematode,nematoda
bee,Apidae
stingray,Myliobatiformes
montana,na
santiago,na
rhode island,na
rhode,na
island,na
alabama,na
clam,Bivalvia
alberta,na
victoria,na
memphis,na
variola,homo
arizona,na
virginia,na
swine,sus
abalone,Haliotis
ostreid,Haliotis
anemia,na
maximus,na
cyprinid,cyprinidae
stork,Ciconiidae
sanderling,Calidris
mallard,Anas
pintail,anas
gadwall,mareca
donkey,Equus
mink,Mustelidae
goose,Anser
swan,cyngus
peregrine,Falco
owl,Strigiformes
wildfowl,Anatidae
dove,Columbidae
peacock,Phasianidae
barnacle,Maxillopoda
heron,Ardeidae
ostrich,Struthio
eagle,Accipitridae
crow,Corvus
egret,Ardeidae
swallow,Hirundinidae
kelp,Laminariales
cattle,Bovinae
curlew,Numenius
oystercatcher,Haematopus
penguin,Spheniscidae
tern,Laridae
buzzard,Buteo
magpie,Corvidae
fox,Canidae
fowl,aves
